site_code,period_year,period_number,from_state,to_state,total_payout_cents,legacy_total_payout_cents,imported_with_legacy_formula,import_session_id,notes
woodland,2025,14,draft,historical_imported,339525,339525,true,import_2026_06_08_historical,Imported 106 entries; legacy formula
woodland,2025,15,draft,historical_imported,325425,325425,true,import_2026_06_08_historical,Imported 121 entries; legacy formula
woodland,2025,16,draft,historical_imported,328675,328675,true,import_2026_06_08_historical,Imported 115 entries; legacy formula
woodland,2025,17,draft,historical_imported,244275,244275,true,import_2026_06_08_historical,Imported 110 entries; legacy formula
woodland,2025,18,draft,historical_imported,132975,132975,true,import_2026_06_08_historical,Imported 44 entries; legacy formula
woodland,2025,19,draft,historical_imported,323775,323775,true,import_2026_06_08_historical,Imported 147 entries; legacy formula
woodland,2025,20,draft,historical_imported,283325,283325,true,import_2026_06_08_historical,Imported 122 entries; legacy formula
woodland,2025,21,draft,historical_imported,291125,291125,true,import_2026_06_08_historical,Imported 127 entries; legacy formula
woodland,2025,22,draft,historical_imported,219975,219975,true,import_2026_06_08_historical,Imported 107 entries; legacy formula
woodland,2025,23,draft,historical_imported,199925,199925,true,import_2026_06_08_historical,Imported 102 entries; legacy formula
woodland,2025,24,draft,historical_imported,163725,163725,true,import_2026_06_08_historical,Imported 85 entries; legacy formula
woodland,2025,25,draft,historical_imported,188250,188250,true,import_2026_06_08_historical,Imported 85 entries; legacy formula
woodland,2025,26,draft,historical_imported,159575,159575,true,import_2026_06_08_historical,Imported 82 entries; legacy formula
woodland,2026,1,draft,historical_imported,121500,121500,true,import_2026_06_08_historical,Imported 57 entries; legacy formula
woodland,2026,2,draft,historical_imported,166175,166175,true,import_2026_06_08_historical,Imported 76 entries; legacy formula
woodland,2026,3,draft,historical_imported,247650,247650,true,import_2026_06_08_historical,Imported 85 entries; legacy formula
woodland,2026,4,draft,historical_imported,143000,143000,true,import_2026_06_08_historical,Imported 91 entries; legacy formula
woodland,2026,5,draft,historical_imported,164025,164025,true,import_2026_06_08_historical,Imported 103 entries; legacy formula
woodland,2026,6,draft,historical_imported,150500,150500,true,import_2026_06_08_historical,Imported 107 entries; legacy formula
woodland,2026,7,draft,historical_imported,198825,198825,true,import_2026_06_08_historical,Imported 127 entries; legacy formula
woodland,2026,8,draft,historical_imported,180125,180125,true,import_2026_06_08_historical,Imported 133 entries; legacy formula
woodland,2026,9,draft,historical_imported,163675,163675,true,import_2026_06_08_historical,Imported 117 entries; legacy formula
woodland,2026,10,draft,historical_imported,191000,191000,true,import_2026_06_08_historical,Imported 127 entries; legacy formula
woodland,2026,11,draft,historical_imported,170100,170100,true,import_2026_06_08_historical,Imported 98 entries; legacy formula
woodland,2026,12,skipped,historical_imported,96475,96475,true,import_2026_06_08_historical,Imported 75 entries; legacy formula
