trailer_number,uses,first_seen,last_seen,decision,notes
901-ACC,72,2012-10-29,2014-11-20,,
945-ACC,72,2012-10-15,2014-12-22,,
948-ACC,63,2012-11-26,2014-12-04,,
937-ACC,62,2012-11-25,2015-01-13,,
935-ACC,62,2012-10-15,2014-11-20,,
909-ACC,1,2013-01-07,2013-01-07,,
