code,name,jurisdiction,mrc_program_code,max_units_indoor,max_units_outdoor,max_units_total_on_site,customer_service_open,customer_service_close,recycling_rate_target_pct,records_retention_years,inbound_processing_deadline_days,mymrc_inbound_submission_business_days,mymrc_processed_submission_business_days,dock_sla_minutes,reconciliation_target_pct,billing_cadence,cip_enabled
eugene,DR3 Eugene,oregon,MRC-OR-2025,,,6000,08:00,16:00,70.00,5,60,3,1,60,97.00,end_of_month_only,false
woodland,DR3 Woodland,california,MRC-CA-2025,3500,5000,,08:30,16:30,75.00,4,45,3,1,60,97.00,mid_month_and_end,true
