site_code,threshold_low,rate_low,threshold_high,rate_high,effective_date,end_date,notes
eugene,50,1.0000,100,0.2500,2026-01-01,,"Eugene daily bonus = MAX(units - 50, 0) * $1.00 + MAX(units - 100, 0) * $0.25. Derived from Bonus_Spread_Sheet_2026.xlsx Eugene template."
woodland,50,0.5000,75,0.2500,2026-01-01,,"Woodland daily bonus = MAX(units - 50, 0) * $0.50 + MAX(units - 75, 0) * $0.25. Derived from Bonus_Spread_Sheet_2026.xlsx California template."
